level,algorithm,found,solution_length,solution_cost,expanded_nodes,generated_nodes,peak_frontier,search_time_ms,peak_memory_mb,path
level1,BFS,True,6,6.00,62,173,21,13.441267,0.022654,DOWN LEFT DOWN RIGHT UP RIGHT
level1,IDS,True,6,6.00,172,500,7,45.4176,0.011167,DOWN LEFT DOWN RIGHT UP RIGHT
level1,UCS,True,6,6.00,62,173,21,13.505033,0.015661,DOWN LEFT DOWN RIGHT UP RIGHT
level1,ASTAR,True,6,6.00,47,133,22,10.4334,0.015851,DOWN LEFT DOWN RIGHT UP RIGHT
level2,BFS,True,7,7.00,65,174,21,15.8392,0.026466,RIGHT DOWN DOWN RIGHT RIGHT DOWN RIGHT
level2,IDS,True,7,7.00,211,588,8,47.054367,0.010933,RIGHT DOWN DOWN RIGHT RIGHT DOWN RIGHT
level2,UCS,True,7,7.00,65,174,21,12.3486,0.016207,RIGHT DOWN DOWN RIGHT RIGHT DOWN RIGHT
level2,ASTAR,True,7,7.00,27,75,18,5.4344,0.01226,RIGHT RIGHT DOWN RIGHT RIGHT RIGHT DOWN
level3,BFS,True,6,7.00,61,169,21,12.5842,0.01825,DOWN LEFT DOWN RIGHT UP RIGHT
level3,IDS,True,6,7.00,150,427,7,30.994033,0.008972,DOWN LEFT DOWN RIGHT UP RIGHT
level3,UCS,True,6,6.00,64,179,21,11.166867,0.0146,RIGHT UP RIGHT DOWN LEFT DOWN
level3,ASTAR,True,6,6.00,42,117,22,8.0601,0.01519,RIGHT UP RIGHT DOWN LEFT DOWN
level4,BFS,True,4,4.25,7,10,2,0.8482,0.004651,RIGHT RIGHT RIGHT RIGHT
level4,IDS,True,4,4.25,20,33,5,3.3819,0.00444,RIGHT RIGHT RIGHT RIGHT
level4,UCS,True,4,4.25,7,10,2,0.8315,0.003771,RIGHT RIGHT RIGHT RIGHT
level4,ASTAR,True,4,4.25,5,8,3,0.757067,0.00324,RIGHT RIGHT RIGHT RIGHT
level5,BFS,True,4,4.25,7,11,2,0.867733,0.004537,RIGHT RIGHT RIGHT RIGHT
level5,IDS,True,4,4.25,18,33,5,2.893667,0.004974,RIGHT RIGHT RIGHT RIGHT
level5,UCS,True,4,4.25,7,11,2,1.016367,0.003558,RIGHT RIGHT RIGHT RIGHT
level5,ASTAR,True,4,4.25,5,8,2,1.051667,0.002843,RIGHT RIGHT RIGHT RIGHT
level6,BFS,True,5,5.25,24,73,23,5.637467,0.01325,RIGHT RIGHT RIGHT RIGHT RIGHT
level6,IDS,True,5,5.25,52,150,6,20.558633,0.007149,RIGHT RIGHT RIGHT RIGHT RIGHT
level6,UCS,True,5,5.25,32,99,25,6.618167,0.013858,RIGHT RIGHT RIGHT RIGHT RIGHT
level6,ASTAR,True,5,5.25,20,59,18,4.0783,0.009588,RIGHT RIGHT RIGHT RIGHT RIGHT
level7,BFS,True,9,8.50,72,173,28,16.791967,0.030848,RIGHT RIGHT SWITCH LEFT SWITCH RIGHT RIGHT DOWN DOWN
level7,IDS,True,9,8.50,189,457,10,45.995933,0.01152,RIGHT RIGHT SWITCH LEFT SWITCH RIGHT RIGHT DOWN DOWN
level7,UCS,True,9,8.50,55,137,26,15.618133,0.018537,RIGHT RIGHT SWITCH LEFT SWITCH RIGHT RIGHT DOWN DOWN
level7,ASTAR,True,9,8.50,41,104,23,9.998733,0.015765,RIGHT RIGHT SWITCH LEFT SWITCH RIGHT RIGHT DOWN DOWN
